[WARN] [2023-11-03 22:38:18.713] [RMI TCP Connection(2)-127.0.0.1] com.zaxxer.hikari.HikariConfig.validateNumerics：com.zaxxer.hikari.HikariConfig-hikari-pg-pool - idleTimeout is less than 10000ms, setting to default 600000ms.
[WARN] [2023-11-03 22:53:41.167] [RMI TCP Connection(2)-127.0.0.1] com.zaxxer.hikari.HikariConfig.validateNumerics：com.zaxxer.hikari.HikariConfig-hikari-pg-pool - idleTimeout is less than 10000ms, setting to default 600000ms.
[WARN] [2023-11-03 22:55:27.275] [RMI TCP Connection(2)-127.0.0.1] com.zaxxer.hikari.HikariConfig.validateNumerics：com.zaxxer.hikari.HikariConfig-hikari-pg-pool - idleTimeout is less than 10000ms, setting to default 600000ms.
[WARN] [2023-11-03 22:55:56.446] [RMI TCP Connection(4)-127.0.0.1] com.zaxxer.hikari.HikariConfig.validateNumerics：com.zaxxer.hikari.HikariConfig-hikari-pg-pool - idleTimeout is less than 10000ms, setting to default 600000ms.
[WARN] [2023-11-03 23:05:56.225] [RMI TCP Connection(3)-127.0.0.1] com.zaxxer.hikari.HikariConfig.validateNumerics：com.zaxxer.hikari.HikariConfig-hikari-zt25-pool - idleTimeout is less than 10000ms, setting to default 600000ms.
[WARN] [2023-11-03 23:06:11.660] [RMI TCP Connection(5)-127.0.0.1] com.zaxxer.hikari.HikariConfig.validateNumerics：com.zaxxer.hikari.HikariConfig-hikari-zt25-pool - idleTimeout is less than 10000ms, setting to default 600000ms.
[WARN] [2023-11-03 23:20:17.988] [RMI TCP Connection(3)-127.0.0.1] com.zaxxer.hikari.HikariConfig.validateNumerics：com.zaxxer.hikari.HikariConfig-hikari-zt25-pool - idleTimeout is less than 10000ms, setting to default 600000ms.
[WARN] [2023-11-03 23:20:49.495] [RMI TCP Connection(2)-127.0.0.1] com.zaxxer.hikari.HikariConfig.validateNumerics：com.zaxxer.hikari.HikariConfig-hikari-zt25-pool - idleTimeout is less than 10000ms, setting to default 600000ms.
[WARN] [2023-11-03 23:21:04.265] [RMI TCP Connection(3)-127.0.0.1] com.zaxxer.hikari.HikariConfig.validateNumerics：com.zaxxer.hikari.HikariConfig-hikari-zt25-pool - idleTimeout is less than 10000ms, setting to default 600000ms.
[WARN] [2023-11-03 23:28:25.444] [RMI TCP Connection(2)-127.0.0.1] com.zaxxer.hikari.HikariConfig.validateNumerics：com.zaxxer.hikari.HikariConfig-hikari-zt25-pool - idleTimeout is less than 10000ms, setting to default 600000ms.
[WARN] [2023-11-03 23:28:55.614] [RMI TCP Connection(5)-127.0.0.1] com.zaxxer.hikari.HikariConfig.validateNumerics：com.zaxxer.hikari.HikariConfig-hikari-zt25-pool - idleTimeout is less than 10000ms, setting to default 600000ms.
[WARN] [2023-11-03 23:30:22.073] [RMI TCP Connection(2)-127.0.0.1] com.zaxxer.hikari.HikariConfig.validateNumerics：com.zaxxer.hikari.HikariConfig-hikari-zt25-pool - idleTimeout is less than 10000ms, setting to default 600000ms.
[WARN] [2023-11-03 23:31:59.263] [RMI TCP Connection(7)-127.0.0.1] com.zaxxer.hikari.HikariConfig.validateNumerics：com.zaxxer.hikari.HikariConfig-hikari-zt25-pool - idleTimeout is less than 10000ms, setting to default 600000ms.
[WARN] [2023-11-03 23:32:59.403] [RMI TCP Connection(2)-127.0.0.1] com.zaxxer.hikari.HikariConfig.validateNumerics：com.zaxxer.hikari.HikariConfig-hikari-zt25-pool - idleTimeout is less than 10000ms, setting to default 600000ms.
[WARN] [2023-11-03 23:34:04.695] [RMI TCP Connection(3)-127.0.0.1] com.zaxxer.hikari.HikariConfig.validateNumerics：com.zaxxer.hikari.HikariConfig-hikari-zt25-pool - idleTimeout is less than 10000ms, setting to default 600000ms.
[WARN] [2023-11-03 23:34:30.495] [RMI TCP Connection(2)-127.0.0.1] com.zaxxer.hikari.HikariConfig.validateNumerics：com.zaxxer.hikari.HikariConfig-hikari-zt25-pool - idleTimeout is less than 10000ms, setting to default 600000ms.
[WARN] [2023-11-03 23:35:49.966] [RMI TCP Connection(5)-127.0.0.1] com.zaxxer.hikari.HikariConfig.validateNumerics：com.zaxxer.hikari.HikariConfig-hikari-zt25-pool - idleTimeout is less than 10000ms, setting to default 600000ms.
[WARN] [2023-11-03 23:36:39.158] [RMI TCP Connection(5)-127.0.0.1] com.zaxxer.hikari.HikariConfig.validateNumerics：com.zaxxer.hikari.HikariConfig-hikari-zt25-pool - idleTimeout is less than 10000ms, setting to default 600000ms.
[WARN] [2023-11-03 23:37:19.211] [RMI TCP Connection(3)-127.0.0.1] com.zaxxer.hikari.HikariConfig.validateNumerics：com.zaxxer.hikari.HikariConfig-hikari-zt25-pool - idleTimeout is less than 10000ms, setting to default 600000ms.
[WARN] [2023-11-03 23:39:16.206] [RMI TCP Connection(2)-127.0.0.1] com.zaxxer.hikari.HikariConfig.validateNumerics：com.zaxxer.hikari.HikariConfig-hikari-zt25-pool - idleTimeout is less than 10000ms, setting to default 600000ms.
[WARN] [2023-11-03 23:42:14.509] [RMI TCP Connection(2)-127.0.0.1] com.zaxxer.hikari.HikariConfig.validateNumerics：com.zaxxer.hikari.HikariConfig-hikari-zt25-pool - idleTimeout is less than 10000ms, setting to default 600000ms.
[WARN] [2023-11-03 23:42:52.581] [RMI TCP Connection(2)-127.0.0.1] com.zaxxer.hikari.HikariConfig.validateNumerics：com.zaxxer.hikari.HikariConfig-hikari-zt25-pool - idleTimeout is less than 10000ms, setting to default 600000ms.
[WARN] [2023-11-03 23:43:11.789] [RMI TCP Connection(2)-127.0.0.1] com.zaxxer.hikari.HikariConfig.validateNumerics：com.zaxxer.hikari.HikariConfig-hikari-zt25-pool - idleTimeout is less than 10000ms, setting to default 600000ms.
[WARN] [2023-11-03 23:48:29.379] [RMI TCP Connection(3)-127.0.0.1] com.zaxxer.hikari.HikariConfig.validateNumerics：com.zaxxer.hikari.HikariConfig-hikari-zt25-pool - idleTimeout is less than 10000ms, setting to default 600000ms.
[WARN] [2023-11-03 23:48:39.572] [RMI TCP Connection(2)-127.0.0.1] com.zaxxer.hikari.HikariConfig.validateNumerics：com.zaxxer.hikari.HikariConfig-hikari-zt25-pool - idleTimeout is less than 10000ms, setting to default 600000ms.
[WARN] [2023-11-03 23:53:10.644] [RMI TCP Connection(2)-127.0.0.1] com.zaxxer.hikari.HikariConfig.validateNumerics：com.zaxxer.hikari.HikariConfig-hikari-zt25-pool - idleTimeout is less than 10000ms, setting to default 600000ms.
